DateRepConf,CaseCode
2020-09-20,1309
2020-09-21,1234
2020-09-22,554
2020-09-23,1175
2020-09-24,769
2020-09-25,1053
2020-09-26,1099
2020-09-27,1034
2020-09-28,1136
2020-09-29,592
2020-09-30,856
2020-10-01,905
2020-10-02,1058
2020-10-03,1034
2020-10-04,1235
2020-10-05,796
2020-10-06,532
2020-10-07,1001
2020-10-08,845
2020-10-09,1076
2020-10-10,638
2020-10-11,770
2020-10-12,1323
2020-10-13,578
2020-10-14,617
2020-10-15,562
2020-10-16,949
2020-10-17,731
2020-10-18,802
2020-10-19,773
2020-10-20,398
2020-10-21,369
2020-10-22,491
2020-10-23,494
2020-10-24,555
2020-10-25,560
2020-10-26,385
2020-10-27,355
2020-10-28,561
2020-10-29,496
2020-10-30,548
2020-10-31,473
2020-11-01,596
2020-11-02,630
2020-11-03,408
2020-11-04,214
2020-11-05,565
2020-11-06,529
2020-11-07,552
2020-11-08,661
2020-11-09,477
2020-11-10,359
2020-11-11,392
2020-11-12,313
2020-11-13,387
2020-11-14,341
2020-11-15,431
2020-11-16,348
2020-11-17,231
2020-11-18,344
2020-11-19,307
2020-11-20,358
2020-11-21,331
2020-11-22,509
2020-11-23,460
2020-11-24,270
2020-11-25,312
2020-11-26,318
2020-11-27,538
2020-11-28,395
2020-11-29,595
2020-11-30,420
2020-12-01,289
2020-12-02,360
2020-12-03,300
2020-12-04,232
2020-12-05,441
2020-12-06,481
2020-12-07,384
2020-12-08,322
2020-12-09,353
2020-12-10,334
2020-12-11,307
2020-12-12,352
2020-12-13,372
2020-12-14,525
2020-12-15,275
2020-12-16,289
2020-12-17,372
2020-12-18,686
2020-12-19,441
2020-12-20,479
2020-12-21,601
2020-12-22,333
2020-12-23,434
2020-12-24,495
2020-12-25,524
2020-12-26,373
2020-12-27,230
2020-12-28,188
2020-12-29,216
2020-12-30,299
2020-12-31,554
2021-01-01,400
2021-01-02,156
2021-01-03,208
2021-01-04,278
2021-01-05,172
2021-01-06,269
2021-01-07,401
2021-01-08,444
2021-01-09,418
2021-01-10,492
2021-01-11,484
2021-01-12,371
2021-01-13,334
2021-01-14,448
2021-01-15,396
2021-01-16,460
2021-01-17,488
2021-01-18,421
2021-01-19,298
2021-01-20,309
2021-01-21,453
2021-01-22,604
2021-01-23,382
2021-01-24,426
2021-01-25,334
2021-01-26,178
2021-01-27,410
2021-01-28,288
2021-01-29,359
2021-01-30,483
2021-01-31,418
2021-02-01,400
2021-02-02,269
2021-02-03,369
2021-02-04,231
2021-02-05,517
2021-02-06,362
2021-02-07,378
2021-02-08,394
2021-02-09,327
2021-02-10,295
2021-02-11,366
2021-02-12,451
2021-02-13,466
2021-02-14,437
2021-02-15,375
2021-02-16,212
2021-02-17,396
2021-02-18,547
2021-02-19,544
2021-02-20,594
2021-02-21,619
2021-02-22,714
2021-02-23,363
2021-02-24,491
2021-02-25,905
2021-02-26,936
2021-02-27,1021
2021-02-28,895
2021-03-01,888
2021-03-02,817
2021-03-03,743
2021-03-04,1061
2021-03-05,1313
2021-03-06,1486
2021-03-07,1538
2021-03-08,1676
2021-03-09,1264
2021-03-10,1541
2021-03-11,1979
2021-03-12,2175
2021-03-13,2379
2021-03-14,2348
2021-03-15,2850
2021-03-16,2258
2021-03-17,2484
2021-03-18,2801
2021-03-19,3810
2021-03-20,4070
2021-03-21,4417
2021-03-22,4112
2021-03-23,3619
2021-03-24,3809
2021-03-25,4934
2021-03-26,5423
2021-03-27,5213
2021-03-28,5162
2021-03-29,5398
2021-03-30,4986
2021-03-31,2940
2021-04-01,5032
2021-04-02,7917
2021-04-03,6753
2021-04-04,5748
2021-04-05,3847
2021-04-06,3772
2021-04-07,3238
2021-04-08,4358
2021-04-09,5769
2021-04-10,5949
2021-04-11,5617
2021-04-12,5145
2021-04-13,3955
2021-04-14,3770
2021-04-15,5365
2021-04-16,5156
2021-04-17,4635
2021-04-18,4662
2021-04-19,3863
2021-04-20,2799
2021-04-21,4138
2021-04-22,4197
2021-04-23,3491
2021-04-24,3662
2021-04-25,2830
2021-04-26,3471
2021-04-27,2912
2021-04-28,2965
2021-04-29,3417
2021-04-30,3039
2021-05-01,3250
2021-05-02,2918
2021-05-03,2399
2021-05-04,1822
2021-05-05,1632
2021-05-06,2034
2021-05-07,2303
2021-05-08,1990
2021-05-09,1981
2021-05-10,1751
2021-05-11,1207
2021-05-12,1199
2021-05-13,1609
2021-05-14,1700
2021-05-15,1616
2021-05-16,1220
2021-05-17,1331
2021-05-18,873
2021-05-19,981
2021-05-20,1354
2021-05-21,1401
2021-05-22,1421
2021-05-23,598
2021-05-24,1047
2021-05-25,518
2021-05-26,990
2021-05-27,1305
2021-05-28,1613
2021-05-29,1185
2021-05-30,1220
2021-05-31,971
2021-06-01,656
2021-06-02,968
2021-06-03,1225
2021-06-04,1113
2021-06-05,1084
2021-06-06,936
2021-06-07,814
2021-06-08,478
2021-06-09,869
2021-06-10,1155
2021-06-11,853
2021-06-12,801
2021-06-13,814
2021-06-14,826
2021-06-15,490
2021-06-16,558
2021-06-17,953
2021-06-18,765
2021-06-19,855
2021-06-20,690
2021-06-21,576
2021-06-22,395
2021-06-23,586
2021-06-24,721
2021-06-25,708
2021-06-26,879
2021-06-27,786
2021-06-28,678
2021-06-29,483
2021-06-30,592
2021-07-01,680
2021-07-02,657
2021-07-03,702
2021-07-04,788
2021-07-05,638
2021-07-06,433
2021-07-07,496
2021-07-08,785
2021-07-09,769
2021-07-10,732
2021-07-11,659
2021-07-12,603
2021-07-13,428
2021-07-14,546
2021-07-15,654
2021-07-16,864
2021-07-17,802
2021-07-18,703
2021-07-19,965
2021-07-20,707
2021-07-21,856
2021-07-22,939
2021-07-23,1069
2021-07-24,909
2021-07-25,893
2021-07-26,1003
2021-07-27,716
2021-07-28,1104
2021-07-29,1341
2021-07-30,1459
2021-07-31,1803
2021-08-01,1764
2021-08-02,2132
2021-08-03,1429
2021-08-04,1743
2021-08-05,2098
2021-08-06,2490
2021-08-07,2847
2021-08-08,2341
2021-08-09,2419
2021-08-10,2195
2021-08-11,3156
2021-08-12,3741
2021-08-13,3673
2021-08-14,4011
2021-08-15,3655
2021-08-16,4129
2021-08-17,2417
2021-08-18,2989
2021-08-19,4394
2021-08-20,4670
2021-08-21,4467
2021-08-22,4007
2021-08-23,4880
2021-08-24,2835
2021-08-25,3668
2021-08-26,4311
2021-08-27,4969
2021-08-28,5172
2021-08-29,4961
2021-08-30,5608
2021-08-31,3590
2021-09-01,4149
2021-09-02,5099
2021-09-03,5341
2021-09-04,6028
2021-09-05,5098
2021-09-06,6293
2021-09-07,4770
2021-09-08,4654
2021-09-09,6702
2021-09-10,4395
2021-09-11,9031
2021-09-12,5635
2021-09-13,5811
2021-09-14,5013
2021-09-15,4445
2021-09-16,5894
2021-09-17,5159
2021-09-18,5069
2021-09-19,4700
2021-09-20,4975
2021-09-21,3286
2021-09-22,3594
2021-09-23,4455
2021-09-24,4435
2021-09-25,2364
2021-09-26,5587
2021-09-27,3069
2021-09-28,2824
2021-09-29,2985
2021-09-30,3232
2021-10-01,3884
2021-10-02,2846
2021-10-03,2973
2021-10-04,1826
2021-10-05,1730
2021-10-06,1894
2021-10-07,1731
2021-10-08,1794
2021-10-09,1983
2021-10-10,2766
2021-10-11,1413
2021-10-12,1870
2021-10-13,1245
2021-10-14,1543
2021-10-15,1372
2021-10-16,1412
2021-10-17,1148
2021-10-18,1130
2021-10-19,714
2021-10-20,629
2021-10-21,822
2021-10-22,1004
2021-10-23,1192
2021-10-24,1000
2021-10-25,825
2021-10-26,1077
2021-10-27,570
2021-10-28,1286
2021-10-29,659
2021-10-30,617
2021-10-31,573
2021-11-01,533
2021-11-02,445
2021-11-03,235
2021-11-04,348
2021-11-05,388
2021-11-06,457
2021-11-07,410
2021-11-08,376
2021-11-09,307
2021-11-10,548
2021-11-11,449
2021-11-12,419
2021-11-13,511
2021-11-14,403
2021-11-15,311
2021-11-16,203
2021-11-17,303
2021-11-18,220
2021-11-19,410
2021-11-20,296
2021-11-21,420
2021-11-22,173
2021-11-23,313
2021-11-24,225
2021-11-25,186
2021-11-26,188
2021-11-27,163
2021-11-28,163
2021-11-29,152
2021-11-30,69
2021-12-01,108
2021-12-02,107
2021-12-03,97
2021-12-04,116
2021-12-05,118
2021-12-06,100
2021-12-07,68
2021-12-08,97
2021-12-09,121
2021-12-10,62
2021-12-11,82
2021-12-12,88
2021-12-13,63
2021-12-14,54
2021-12-15,44
2021-12-16,87
2021-12-17,170
2021-12-18,64
2021-12-19,55
2021-12-20,58
2021-12-21,40
2021-12-22,71
2021-12-23,90
2021-12-24,124
2021-12-25,190
2021-12-26,218
2021-12-27,119
2021-12-28,165
2021-12-29,565
2021-12-30,1100
2021-12-31,1964
2022-01-01,2535
2022-01-02,3357
2022-01-03,2865
2022-01-04,3861
2022-01-05,7555
2022-01-06,11678
2022-01-07,13732
2022-01-08,16320
2022-01-09,17093
2022-01-10,18764
2022-01-11,1939
